"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 01- 14","1,946.07","1,942.79","1,961.73","1,939.31","244.06M","-0.15%"
"2014- 01- 13","1,948.92","1,947.38","1,954.07","1,942.83","267.94M","0.54%"
"2014- 01- 10","1,938.54","1,949.53","1,956.97","1,931.16","262.99M","-0.39%"
"2014- 01- 09","1,946.11","1,962.30","1,964.59","1,946.11","276.40M","-0.66%"
"2014- 01- 08","1,958.96","1,965.50","1,966.95","1,950.02","217.07M","-0.02%"
"2014- 01- 07","1,959.44","1,947.65","1,965.74","1,947.08","193.03M","0.32%"
"2014- 01- 06","1,953.28","1,947.62","1,961.85","1,943.74","193.63M","0.37%"
"2014- 01- 03","1,946.14","1,963.72","1,964.63","1,936.15","188.53M","-1.07%"
"2014- 01- 02","1,967.19","2,013.11","2,013.89","1,967.19","207.77M","-2.20%"
"2013- 12- 31","2,011.34","2,004.32","2,011.34","1,998.61","172.23K","0.00%"
"2013- 12- 30","2,011.34","2,004.32","2,011.34","1,998.61","172.23M","0.45%"
"2013- 12- 27","2,002.28","1,994.05","2,004.55","1,987.58","207.77M","0.15%"
"2013- 12- 26","1,999.30","2,004.25","2,009.96","1,997.34","230.53M","-0.11%"
"2013- 12- 24","2,001.59","2,000.24","2,007.34","1,994.34","214.69M","0.24%"
"2013- 12- 23","1,996.89","1,993.45","2,000.07","1,989.00","223.00M","0.68%"
"2013- 12- 20","1,983.35","1,973.12","1,984.44","1,972.59","247.06M","0.39%"
"2013- 12- 19","1,975.65","1,996.79","1,997.02","1,969.95","255.82M","0.05%"
"2013- 12- 18","1,974.63","1,971.85","1,982.42","1,966.18","258.66M","0.45%"
"2013- 12- 17","1,965.74","1,977.94","1,979.62","1,962.22","253.89M","0.23%"
"2013- 12- 16","1,961.15","1,960.60","1,970.25","1,956.63","213.51M","-0.09%"
"2013- 12- 13","1,962.91","1,963.04","1,963.81","1,947.44","234.10M","-0.26%"
"2013- 12- 12","1,967.93","1,966.44","1,970.51","1,958.99","255.08M","-0.51%"
"2013- 12- 11","1,977.97","1,987.22","2,000.15","1,972.87","231.37M","-0.78%"
"2013- 12- 10","1,993.45","2,000.03","2,001.33","1,989.41","200.96M","-0.35%"
"2013- 12- 09","2,000.38","2,000.52","2,003.97","1,997.58","230.27M","1.01%"
"2013- 12- 06","1,980.41","1,982.99","1,990.55","1,980.40","201.90M","-0.22%"
"2013- 12- 05","1,984.77","1,993.73","1,994.32","1,971.44","217.67M","-0.10%"
